Ticker,Date/Time,vni_close,vni_high,vni_low,vni_pct_chg,vni_rsi,basis_pct,advance,decline,ceiling,floor,total_stocks,above_ma50,ema_cross,volume,parkinson_vol,vol_ratio,ad_ratio,thrust_pct
VNINDEX,1/2/2020 0:00,966.7,966.7,959.7,0.59,54.4,-0.07,29,1,1,0,32,12,11,131.52,0.4,0.77,29,3.13
VNINDEX,1/3/2020 0:00,965.1,970.9,965.1,-0.16,52,-0.43,12,16,0,0,32,10,12,149.2,0.38,0.88,0.75,0
VNINDEX,1/6/2020 0:00,955.8,963.2,955.6,-0.97,40,-0.04,3,28,0,0,32,6,13,140.98,0.39,0.83,0.11,0
VNINDEX,1/7/2020 0:00,958.9,959.5,953.2,0.32,44.7,-0.19,21,7,0,0,32,7,13,130.27,0.41,0.78,3,0
VNINDEX,1/8/2020 0:00,949,955.8,945.3,-1.03,35,-0.17,2,27,0,0,32,5,9,179.37,0.45,1.07,0.07,0
VNINDEX,1/9/2020 0:00,960.2,960.7,952.2,1.18,48.9,-0.34,29,2,0,0,32,8,9,132.77,0.47,0.8,14.5,0
VNINDEX,1/10/2020 0:00,968.5,969.7,961.2,0.87,56.7,-0.77,24,4,1,0,32,11,12,163.06,0.49,0.98,6,3.13
VNINDEX,1/13/2020 0:00,965.8,968.6,964.8,-0.28,53.8,-0.26,14,16,0,0,32,9,13,117.95,0.46,0.72,0.88,0
VNINDEX,1/14/2020 0:00,967,968.8,965.8,0.12,54.9,-0.28,15,11,0,0,32,12,15,127.78,0.45,0.8,1.36,0
VNINDEX,1/15/2020 0:00,967.6,967.7,964.8,0.06,55.4,-0.18,11,11,0,0,32,11,16,112.47,0.43,0.73,1,0
VNINDEX,1/16/2020 0:00,974.3,974.7,967.2,0.7,61.9,0.02,23,6,0,0,32,18,19,146.76,0.43,0.97,3.83,0
VNINDEX,1/17/2020 0:00,979,980,973.8,0.48,65.7,-0.15,16,14,0,0,32,18,21,117.22,0.43,0.79,1.14,0
VNINDEX,1/20/2020 0:00,978.6,979.8,975.9,-0.03,65.2,-0.06,14,13,0,0,32,18,22,102.4,0.41,0.71,1.08,0
VNINDEX,1/21/2020 0:00,986.4,986.4,978.8,0.79,71.1,-0.48,23,2,0,0,32,19,22,128.89,0.42,0.91,11.5,0
VNINDEX,1/22/2020 0:00,991.5,991.5,983.9,0.52,74.3,-0.01,18,6,0,0,32,21,24,128.97,0.39,0.93,3,0
VNINDEX,1/30/2020 0:00,959.6,977.7,954,-3.22,42,-0.32,1,28,0,0,32,12,22,181.39,0.59,1.31,0.04,0
VNINDEX,1/31/2020 0:00,936.6,961,936.6,-2.39,31.2,0.4,2,27,0,2,32,6,14,210.63,0.74,1.49,0.07,6.25
VNINDEX,2/3/2020 0:00,928.1,930.4,891.8,-0.91,28.2,-0.2,7,20,0,0,32,7,11,246.41,1.09,1.68,0.35,0
VNINDEX,2/4/2020 0:00,929.1,934.9,919.3,0.1,29.1,-0.39,19,9,1,0,32,9,10,178,1.14,1.2,2.11,3.13
VNINDEX,2/5/2020 0:00,925.9,936.3,921.9,-0.34,27.8,-0.42,14,14,1,0,32,9,10,163.68,1.17,1.09,1,3.13
VNINDEX,2/6/2020 0:00,938.5,938.5,925.2,1.36,39.1,-0.27,26,4,2,0,32,12,11,206.13,1.19,1.35,6.5,6.25
VNINDEX,2/7/2020 0:00,940.8,943.5,935.9,0.24,40.9,-0.75,12,15,0,1,32,10,11,165.02,1.2,1.07,0.8,3.13
VNINDEX,2/10/2020 0:00,930.7,935.9,926.6,-1.07,35.6,-0.79,2,25,0,0,32,9,10,129.57,1.21,0.84,0.08,0
VNINDEX,2/11/2020 0:00,934.7,936,931.5,0.42,39.1,-0.71,20,7,1,0,32,9,8,159.27,1.2,1.03,2.86,3.13
VNINDEX,2/12/2020 0:00,937.7,943.1,937.3,0.32,41.7,-0.77,24,5,2,0,32,10,9,187.44,1.2,1.21,4.8,6.25
VNINDEX,2/13/2020 0:00,938.2,939.1,934.5,0.06,42.2,-1.05,11,15,0,0,32,10,9,153.48,1.11,0.98,0.73,0
VNINDEX,2/14/2020 0:00,937.5,940.7,936.5,-0.08,41.6,-0.47,16,12,0,0,32,13,10,172.2,1,1.1,1.33,0
VNINDEX,2/17/2020 0:00,934.8,938.5,931.7,-0.29,39.6,-0.29,13,16,0,0,32,13,12,149.35,0.62,0.94,0.81,0
VNINDEX,2/18/2020 0:00,927.9,935,926,-0.73,34.7,-0.66,8,18,0,0,32,13,12,164.33,0.56,1.03,0.44,0
VNINDEX,2/19/2020 0:00,928.8,931.7,925.9,0.09,35.8,0.23,15,14,0,0,32,13,14,161.8,0.49,0.99,1.07,0
VNINDEX,2/20/2020 0:00,938.1,938.1,930.4,1.01,46.7,0.03,19,6,0,0,32,14,14,183.64,0.43,1.12,3.17,0
VNINDEX,2/21/2020 0:00,933.1,940.5,932.3,-0.54,42.4,-0.7,7,20,0,0,32,12,14,179.5,0.44,1.07,0.35,0
VNINDEX,2/24/2020 0:00,903.3,917.5,903.3,-3.19,26.4,-1,1,30,0,4,32,6,8,255.97,0.49,1.46,0.03,12.5
VNINDEX,2/25/2020 0:00,909.7,909.7,894,0.7,32.4,-1.01,22,8,1,0,32,9,7,186.01,0.59,1.04,2.75,3.13
VNINDEX,2/26/2020 0:00,896,903.3,894.3,-1.51,27.1,-0.6,6,24,1,0,32,7,7,131.17,0.61,0.74,0.25,3.13
VNINDEX,2/27/2020 0:00,898.4,899.3,889.1,0.28,29.4,-0.13,21,9,1,0,32,10,8,135.47,0.64,0.77,2.33,3.13
VNINDEX,2/28/2020 0:00,882.2,887.1,872.5,-1.81,23.9,-0.22,3,28,1,0,32,8,8,184.32,0.71,1.06,0.11,3.13
VNINDEX,3/2/2020 0:00,884.4,886.5,877.3,0.25,26,0.5,15,11,1,0,32,9,8,173.93,0.72,1.02,1.36,3.13
VNINDEX,3/3/2020 0:00,890.6,896.4,890.1,0.7,31.9,0,16,6,2,0,32,9,9,176.37,0.71,1.03,2.67,6.25
VNINDEX,3/4/2020 0:00,889.4,889.8,882.8,-0.14,31.3,0.37,12,10,1,0,32,9,9,195.44,0.72,1.13,1.2,3.13
VNINDEX,3/5/2020 0:00,893.3,898.4,891.2,0.44,35.3,-0.37,15,11,1,0,32,9,9,209.16,0.71,1.21,1.36,3.13
VNINDEX,3/6/2020 0:00,891.4,891.4,882.7,-0.21,34.3,-0.44,5,21,1,0,32,10,9,175.6,0.72,1.01,0.24,3.13
VNINDEX,3/9/2020 0:00,835.5,875.8,834.7,-6.28,17.3,-1.12,0,30,0,21,32,4,7,273.18,1.12,1.51,0,65.63
VNINDEX,3/10/2020 0:00,837.5,843.3,806.6,0.24,18.9,-1.01,18,8,1,1,32,5,6,242.83,1.37,1.32,2.25,6.25
VNINDEX,3/11/2020 0:00,811.3,844.9,794.5,-3.12,14.7,-1.74,1,27,1,8,32,3,5,278.3,1.79,1.47,0.04,28.13
VNINDEX,3/12/2020 0:00,769.3,778.1,762.1,-5.19,10.6,-3.51,1,28,0,12,32,2,2,311.34,1.82,1.58,0.04,37.5
VNINDEX,3/13/2020 0:00,761.8,764.7,723.4,-0.97,10,-0.61,10,17,1,0,32,2,2,289.01,2.08,1.42,0.59,3.13
VNINDEX,3/16/2020 0:00,747.9,758.6,737.6,-1.83,9.1,-3.33,6,21,0,2,32,2,2,222.78,2.14,1.08,0.29,6.25
VNINDEX,3/17/2020 0:00,745.8,750,721.8,-0.28,8.9,0.12,19,11,1,2,32,1,2,202.42,2.25,0.97,1.73,9.38
VNINDEX,3/18/2020 0:00,747.7,752.7,742.1,0.25,10.3,-1.81,14,14,1,0,32,2,1,205.46,2.26,0.98,1,3.13
VNINDEX,3/19/2020 0:00,725.9,733.4,714,-2.91,8.6,-0.23,0,29,0,0,32,2,1,308.92,2.31,1.42,0,0
VNINDEX,3/20/2020 0:00,709.7,729.3,709.7,-2.23,7.5,-0.24,12,15,0,4,32,2,2,197.47,2.36,0.91,0.8,12.5
VNINDEX,3/23/2020 0:00,666.6,694.8,664.2,-6.08,5.5,-1.23,0,30,0,23,32,2,2,223.31,2.34,1.03,0,71.88
VNINDEX,3/24/2020 0:00,659.2,666.3,652.3,-1.11,5.3,0.09,12,18,0,3,32,2,2,212.66,2.22,0.98,0.67,9.38
VNINDEX,3/25/2020 0:00,690.3,690.3,667.6,4.71,22.7,-0.61,28,2,8,0,32,2,2,209.92,1.99,0.95,14,25
VNINDEX,3/26/2020 0:00,694.2,700.8,680.1,0.57,24.7,-3.19,8,23,1,1,32,1,2,171.22,2.03,0.77,0.35,6.25
VNINDEX,3/27/2020 0:00,696.1,703.2,682.5,0.27,25.6,-4.24,10,19,0,1,32,1,1,212.34,1.83,0.95,0.53,3.13
VNINDEX,3/30/2020 0:00,662.3,665.6,657.4,-4.86,20.3,-4.9,1,30,0,9,32,1,1,194.28,1.77,0.86,0.03,28.13
VNINDEX,3/31/2020 0:00,662.5,678.6,649.1,0.04,20.4,-5.25,16,15,0,1,32,1,1,227.89,1.82,1,1.07,3.13
VNINDEX,4/1/2020 0:00,680.2,685,657.4,2.67,29.9,-6.17,29,2,3,0,32,1,1,203.31,1.96,0.89,14.5,9.38
VNINDEX,4/3/2020 0:00,701.8,701.8,687.9,3.17,39.6,-5.43,30,0,4,0,32,2,1,197.92,1.93,0.87,30,12.5
VNINDEX,4/6/2020 0:00,736.8,736.8,715.4,4.98,51.7,-3.79,30,0,17,0,32,2,2,304.96,1.94,1.3,30,53.13
VNINDEX,4/7/2020 0:00,746.7,749.1,730.3,1.35,54.5,-2.39,19,8,3,0,32,2,2,276.56,1.81,1.18,2.38,9.38
VNINDEX,4/8/2020 0:00,748,748.4,730.1,0.18,54.9,-2.34,12,18,1,0,32,2,2,203.42,1.83,0.87,0.67,3.13
VNINDEX,4/9/2020 0:00,760.3,765.9,751.1,1.65,58.7,-2.53,22,7,2,0,32,2,3,271.13,1.75,1.17,3.14,6.25
VNINDEX,4/10/2020 0:00,757.9,764.4,751.6,-0.31,57.6,-1.97,11,20,2,0,32,3,5,295.26,1.69,1.28,0.55,6.25
VNINDEX,4/13/2020 0:00,765.8,774.6,762.5,1.04,60.2,-2.36,25,4,2,0,32,3,6,200.2,1.62,0.88,6.25,6.25
VNINDEX,4/14/2020 0:00,767.4,769.5,753.8,0.21,60.7,-1.21,15,13,3,0,32,4,9,229.14,1.65,1.01,1.15,9.38
